Distancia (km),Quantidade transportada (ton),Custo combustivel (R$/L),"Tipo transporte (Caminhao = 1, Ferrovia = 0)",Funcionarios envolvidos,"Regiao (1 = Sul, 2 = Sudeste, 3 = Norte)",Custo logistico (R$)
1069,534,4.880748446050421,0,13,1,66993.4695794213
591,695,5.097559718526023,1,9,3,76207.25905977865
808,669,5.592571365885602,0,12,2,65614.09774008402
1179,67,5.166135368844287,1,18,2,52052.51755711065
1636,655,5.920436144765649,0,11,2,84159.00412191867
130,711,5.320671661028255,0,11,1,44679.748839368
182,807,5.045418908135202,0,13,1,48994.737657601865
846,338,4.047183935561591,0,7,3,56934.65853799334
949,463,4.827465795160659,1,18,2,66322.29921135152
187,770,4.598496838520321,1,21,2,65496.14501721496
233,687,5.496211335774978,1,22,1,55185.02554770733
1474,284,4.416555350307092,0,16,1,62810.7858679243
1403,465,4.410440174588143,0,18,1,72205.94713060542
834,987,4.379038086474754,1,17,2,94857.43318166245
1581,548,4.251231226312472,1,18,2,94868.41550281967
1925,683,4.622014007341775,1,13,3,108711.61137578223
1033,699,5.771844228886851,1,23,2,85627.6600732002
118,164,5.54985694461191,0,6,3,19240.997524508093
595,981,5.470502432613587,1,15,3,79978.89188136117
1847,723,5.594673611299926,0,21,2,101601.9739722804
102,762,4.538835778659143,1,6,3,66342.94097369381
1523,283,5.774883381504976,0,23,3,78748.3589605351
254,589,4.274606750283208,1,11,1,53894.22521583124
175,60,4.672691453431164,1,22,2,28045.97203676188
1820,255,5.173496237934685,0,17,3,64540.09076432814
92,728,4.205810176684001,0,9,3,61799.54432609821
1825,296,5.46026037555285,1,22,3,97634.97247730086
1956,608,4.77449209640695,0,20,2,101262.92562018377
160,807,5.5688113312168,1,19,1,62194.39344405903
810,176,4.985792571169205,0,12,1,27638.66942876509
1736,196,4.3617490488506725,1,19,2,80872.40177012775
1256,167,5.469523622710689,1,5,2,63423.603468400725
897,960,4.504287911677887,1,21,2,86215.85641778834
144,431,4.981620602536085,1,19,2,46501.61965442188
1447,461,4.151066538313815,1,18,1,88518.60261819873
1985,713,5.235733308824074,1,18,3,117320.67762677785
1593,633,5.331715532432554,1,14,3,101192.30844177204
949,412,4.757348419945567,1,6,2,68056.14386865494
409,558,5.908845560642147,0,10,2,46510.56631232646
949,186,5.748337842964137,0,21,3,52535.85569356814
1769,224,5.4158818314799895,0,9,1,77496.9163444386
330,338,5.427304148987485,1,9,2,44619.954692288
1268,530,4.504803429884302,1,19,2,78915.54427298416
1937,68,5.3136304621768975,1,19,1,71139.16441841458
1268,244,4.396412530471039,0,24,1,59342.94389917515
716,379,4.288006447839644,0,15,1,49145.09578964437
142,985,5.99893578840516,0,9,2,63229.197846885974
721,224,5.244751862946348,0,5,1,36774.263983510515
110,498,4.861975745314381,0,15,2,37516.62922876532
683,974,4.576329045767903,1,15,2,84300.11146772052
1124,995,5.207840887324455,0,10,1,85519.98735290958
1476,403,4.0991870164401725,1,12,3,78698.10314084872
1862,548,4.18936198100959,1,6,1,93025.24038442147
1078,190,4.065713395480793,1,19,3,64425.06430596413
1539,807,4.9983396665253235,0,13,1,90972.82271149951
653,946,5.201213258374365,0,19,1,69983.66053206925
731,979,4.124959522715642,1,12,2,81332.91211889616
1902,142,5.442448934997833,0,20,2,76236.53275971777
583,993,4.460790143029129,0,18,2,80519.11671250328
1478,288,5.370402907539733,1,19,2,72204.5077348489
887,254,5.963794280070491,1,24,2,58068.611441344256
1586,609,5.382211740107702,1,17,2,91758.29418531206
694,482,5.766386105847217,1,13,2,62394.26436785617
282,294,5.896397013486135,1,5,3,45647.73390793858
573,881,4.973502096704631,0,10,3,78818.43918339118
395,366,5.404649958839414,1,12,2,45817.16485363759
1119,974,5.703938507111683,0,24,3,97021.53267843983
595,344,4.713217825748773,0,22,1,45228.253483028035
1151,689,4.52279463312079,1,22,3,88685.74507394744
1803,905,5.893197145556678,1,21,2,124187.09753564621
1886,331,5.452607000737636,0,20,3,82217.73217661442
1996,66,4.439364266751653,1,17,1,81276.68984079713
1146,120,4.898166785352227,0,8,3,46760.970726101055
843,318,5.5929035390756185,1,8,2,61444.02352636461
298,374,5.094125981836884,1,18,1,46143.11619050166
96,843,5.299904196331778,0,9,1,56516.75819485884
1194,354,5.5075364040901045,0,20,3,73451.6380639592
263,500,5.244018377617961,1,18,1,53891.138016457066
288,56,5.080158643844392,1,18,1,31133.379977977937
1129,363,5.499228568775547,1,18,1,66616.20581879152
399,866,5.455126070864401,0,18,2,52469.231965836574
156,152,5.259744800366358,1,23,1,35701.38783998238
880,870,4.719578826763859,1,7,3,98240.7076124768
97,242,4.811624184400543,1,21,3,37080.71913551146
1646,802,5.940877097768195,1,18,1,101219.89909139255
386,623,4.224771864583052,0,14,3,59131.699669083544
1099,578,4.537009834505671,0,17,1,73363.92014089676
853,220,4.984803518408672,0,8,3,35695.80062292401
1330,586,5.673459372287572,1,15,1,86238.77896142025
57,300,4.327351327459455,1,19,1,33987.685309748
674,814,4.55390923624922,1,19,1,69074.8607200388
1940,436,4.1315964355904775,0,6,2,81271.45910181367
1326,256,5.411970532101637,0,15,3,68243.78947598515
1765,590,4.476418870951232,0,6,1,87636.877946295
768,678,4.7773495013419005,0,9,2,59478.961097121515
352,465,4.887402894059336,1,17,2,48606.6523656025
688,843,5.782627871212911,0,5,1,62175.748199681875
105,429,4.822660580662474,0,11,1,30488.427944508294
775,193,4.290450039830498,1,11,1,51906.744023952255
575,74,5.048629876680242,0,14,1,32757.678466861034
523,871,5.925915989297259,1,10,1,71863.04161598306
77,717,5.215371282101622,1,24,3,57398.76694411253
127,122,5.966774440921145,1,16,1,28999.183113502302
1289,681,5.68221461787774,1,17,1,94024.14643446292
1459,873,4.071931512426826,1,15,3,108809.86504374418
414,882,5.316799190754084,0,22,2,71716.0649300112
715,142,4.5735337551157675,0,6,3,46521.295301827035
575,554,5.119233711289448,1,20,2,55359.54584534526
748,647,4.558690381862453,0,6,2,69264.42931935651
1385,385,4.697740833210581,1,23,3,87941.71566149744
932,474,5.846337423508359,0,10,1,51705.40923378311
1080,548,4.41328636978341,0,5,2,68825.54159720673
1076,413,5.748218236051661,0,15,1,62483.97881652085
1696,996,4.060915616140994,0,22,3,105461.37729063437
968,679,4.181753076739296,0,14,2,70175.44928864785
799,794,5.709350082768527,0,22,1,71506.66803808883
412,248,5.261112061818391,0,5,2,26490.901156154137
1824,767,5.494472276079101,1,23,2,110422.65294533104
1581,462,4.4188353416437085,1,20,3,97745.30501826534
1347,388,5.074166911180207,1,11,1,83863.70392127144
1579,708,5.474438447142609,0,19,1,83889.30457465354
855,986,5.254628274020525,0,5,2,68753.63581867197
788,478,4.943397533782419,1,13,1,69498.48774902755
1956,832,5.91956757287543,1,6,2,126951.84806205913
1088,948,5.35231466690689,0,21,3,95199.9853643614
1265,188,5.8155016004824756,1,14,3,66222.74150838418
1704,742,5.459541023147363,1,10,1,98531.13625812742
534,991,5.470927057195366,1,9,3,88289.34192767648
77,591,4.1600365395153585,1,12,3,56413.41316126666
763,106,4.718929243707887,0,12,1,30450.420240208212
1112,281,5.716738813439317,1,9,2,66543.65974830117
1346,707,4.465207724297512,1,16,3,93389.05121262153
1304,484,4.231011732312933,1,11,1,82305.18389107374
135,433,4.652212113277587,1,17,1,31431.894820375466
1547,609,4.440875769785228,0,17,1,84763.80051759646
175,243,5.85057638958631,1,21,3,36595.54695866796
861,785,5.735933284004262,1,8,3,93908.31099196732
586,697,4.999366460565808,1,22,2,72689.63166626415
194,583,4.122687748967736,1,14,2,55970.04972269788
1598,567,5.4291246921863126,1,7,2,88988.79622772876
1285,765,5.246823462672529,0,16,2,83916.2742158689
74,800,5.9411093414569915,1,5,2,61663.08839483299
1653,234,5.1179064805407535,1,15,2,77551.84538307306
1467,921,4.672787446805819,0,22,1,95385.0723667263
116,341,5.038043387157112,1,17,2,40063.83751166267
282,384,5.958526582809032,0,21,3,30172.99068333727
158,781,5.392724865066061,1,12,2,59064.28515194024
1219,165,5.343952275854102,0,24,3,59835.95834669095
160,874,4.481363179451771,0,23,2,55072.45979421196
277,98,5.487205035121235,1,21,1,41736.46363034652
160,734,5.500543658943544,0,6,1,47303.99409047845
1543,131,4.63457796755181,1,7,3,62597.163118107994
83,883,4.967427664781426,0,7,2,56043.08783685689
672,382,4.589206665880912,0,10,1,39274.98942692289
1849,606,4.517410140648574,1,14,1,103128.67281465021
1442,384,4.0517921404989705,0,22,2,67857.25509922256
797,581,4.570423489306664,1,22,3,70948.09101599365
644,270,5.10793989975655,0,18,3,48349.75836169253
1627,684,4.003202375098057,0,20,3,85094.17168482879
474,795,4.566438167619335,1,11,1,66926.945297325
662,782,5.7628206646465,1,5,2,73356.31084678383
1591,372,5.1872971702147215,0,21,1,79708.84421463247
741,900,5.2157256481619605,1,9,1,80993.29081853585
1355,52,4.806728610052707,1,5,1,53445.47805202845
1393,743,5.3529442869848225,0,21,1,86872.68972995586
1811,255,4.379865532460718,0,14,2,70198.50184648723
1516,881,5.6374936207683835,1,16,1,102201.89303155139
364,89,4.2333782398718,0,24,1,25337.280202735154
926,108,5.312002709306219,1,6,3,38105.6433152085
1814,623,4.682298651639366,1,20,1,97091.00766417201
1450,693,5.495025941164954,1,19,2,93413.67145756177
1362,556,5.09952910253204,1,17,1,92635.39888638958
1510,621,4.904706076957432,1,22,2,97229.00711775324
711,933,4.338844804186494,1,24,2,86390.78913983537
326,892,5.273642928568705,0,18,2,62300.811714667376
1783,171,5.949539686840826,1,22,3,83832.11253411187
1655,528,5.65120684981403,0,6,3,86703.61573654151
1576,668,4.120016385178023,1,6,1,95967.68588254176
673,145,4.752458756722382,0,7,1,42249.09901067744
565,908,5.851166018380543,0,9,1,65979.56581741097
1423,463,5.006087495114043,0,20,2,75214.98189259545
892,284,5.324223651616358,1,19,2,59712.07235814922
1519,947,5.825198691182781,0,16,2,106128.99455300678
1903,111,5.747589380839761,0,13,1,65347.67328753396
399,305,5.003640751081022,1,18,1,41687.73839174113
1680,610,4.875292605315204,0,20,1,79779.37772298648
1737,954,4.679385236959174,0,15,1,110584.76679879848
872,397,5.438038886325782,1,10,3,58114.53321073386
1210,720,4.573973598943087,0,14,3,84684.76906505557
808,173,4.499775212861801,0,12,3,50745.366073074416
948,531,4.71249978920756,1,20,1,80974.92699689677
292,366,4.354430113757584,0,7,3,34407.372571152686
592,553,5.390239631891535,0,6,3,52975.731815925756
1113,768,5.232481298661225,0,20,1,78035.64604585807
278,97,4.965757068231687,0,23,3,28476.575185481805
597,458,4.780651558523109,1,13,1,55839.84600489344
969,981,5.818125085793463,1,20,1,93660.37081087824
1296,185,4.05824756997821,1,8,1,68322.65215312457
55,250,5.5382154870145985,1,14,2,32537.48416523149
1395,299,5.803819143497778,0,23,1,63236.46565861364
517,363,4.8927091588598515,1,17,3,49425.6957703342
1805,918,5.1013809829412935,1,22,3,125935.84240879098
124,417,5.888927375764076,0,19,1,32649.854362161594
53,478,4.424555030571029,0,8,2,32443.66476961745
1920,879,5.0402696955693695,0,13,2,100060.26102777643
695,856,4.949442254256426,1,8,2,85697.21310408654
167,529,4.51678529574074,0,20,3,36047.15330360984
930,363,5.637186460746216,0,19,2,57028.18803547093
1679,549,5.799201189526472,0,6,2,81426.92902118686
553,770,5.563865159576418,1,18,1,66306.43786325424
996,404,4.390717921697217,1,7,2,71616.11638321196
623,534,4.173497271002763,1,8,2,62785.03813171632
1514,260,5.210888970610685,1,5,2,75730.64507856104
243,753,4.114189521019767,1,13,1,70049.64220580753
896,93,5.345651777116169,1,21,1,57978.00456572585
764,590,5.060848440654485,1,18,2,69515.65371306283
1465,620,5.325571465487327,0,21,3,79177.054399095
1099,632,5.180341547299488,0,5,3,80729.22988478941
1508,141,4.845405139054345,0,14,1,51389.65980415983
222,314,4.4017543602804565,1,20,2,42936.87189396771
1373,944,4.611404271620977,1,23,3,107656.23992731897
1718,269,5.049001148437953,0,7,2,72594.49767747874
375,951,5.303736187295212,0,16,1,71183.32594789048
1483,974,5.558966033769057,1,7,3,108735.26103249863
1191,491,5.534341436898122,1,19,1,73906.36709771406
885,450,5.945377486522171,1,21,2,71912.95074341762
1860,449,4.571682897326819,1,22,1,103679.93298384802
773,776,4.142221416426874,1,11,1,89531.98052473232
274,948,4.691313871083718,1,23,1,65011.60357282637
581,838,5.486588950448153,1,11,1,73075.24134389251
162,625,4.87622330206659,1,9,3,50290.39734430059
189,907,5.635576861178839,0,12,2,63270.546807582185
608,853,5.09865273037203,1,20,3,81743.66343282389
50,539,5.859583445261006,1,20,2,51768.72859744924
139,534,5.895726883998138,1,23,2,48142.29142892286
703,806,4.138609012037497,0,19,2,72856.94452817019
369,519,4.912826879424848,0,11,2,43681.71228096425
1623,623,5.219378122499136,1,9,2,98060.8414822839
1878,987,4.511745081624426,0,15,3,112564.66769306052
1967,893,4.81415355875796,0,14,2,118267.2948555043
188,731,5.355363082235397,0,13,1,41854.09469310301
1584,494,4.453468453796723,1,5,3,90378.08373705967
1941,318,5.203962705948905,1,24,3,104036.40126766905
894,316,5.394895656328612,1,5,2,66197.35650430851
308,103,4.1809926221917335,1,12,1,25464.40720251955
1746,577,4.9950586320549055,1,7,1,92465.71446478606
951,569,4.526160059848381,1,6,2,76413.45352298666
739,665,5.448772711996089,1,8,2,76194.05501944997
59,108,4.379111017073881,0,23,1,19609.074110809604
310,874,5.784475831076213,1,15,3,66345.9391825599
1992,89,4.861882673036654,1,9,3,90119.90840011633
1723,286,4.3960060606151075,1,14,2,79080.85202644258
221,435,4.8760435927006585,1,12,3,54691.39071702871
947,655,4.8174875256170555,1,17,3,73191.62834831298
62,783,4.85783791898742,1,9,1,50769.148099004
1241,765,5.171122586994894,1,16,3,104270.63866562268
1715,699,5.042347449827075,1,17,1,111501.3619112143
1669,349,4.299554263361806,0,12,2,75371.45383582146
370,444,4.131158145293273,0,19,2,39619.13165262525
1392,256,5.4588308974530815,1,17,1,70909.14680101126
1686,385,5.119434871856627,1,5,1,86963.35719054076
378,642,4.7180015361585275,0,10,2,53323.053886487876
834,779,5.616715644996148,1,15,1,78804.69497602452
826,563,4.7761169485219135,1,17,2,61340.69224341063
960,227,5.591930179201215,0,24,2,46627.44724880193
1993,445,4.611512255024749,1,5,2,91070.73970916678
1623,420,4.145690595090399,1,15,2,91091.89840582515
1492,907,5.865279387599858,1,15,2,110387.10720170173
1679,840,4.789102258562746,0,12,2,99408.30722417306
1168,707,5.585385145698756,0,7,3,78628.8554494133
1890,367,4.558288266444609,1,23,3,105459.66533614197
1654,785,5.292730224247312,0,16,2,102848.33348981936
367,418,5.746621746515457,0,10,3,42809.916211027754
285,433,4.083288044679961,0,12,1,32751.398274865056
383,111,5.661271529372178,1,9,1,39220.621949832515
1958,855,5.1426660099438575,0,14,2,110013.83496870469
425,554,5.2149435078171384,0,20,3,47815.828547171426
1532,288,5.046316001611965,0,16,1,63530.22929736968
1210,244,5.748950206567285,1,21,1,68783.78369523892
637,727,4.086866714471275,0,10,1,65265.03406606096
1620,271,4.5220567830716965,0,13,1,70889.0304328845
562,110,5.751525077718311,1,14,3,45923.54645868798
1369,178,5.504691405063912,0,24,1,55600.99147584233
1393,734,4.035290320357212,0,18,1,81586.73676430919
967,205,5.034012566419417,0,18,1,46319.91294062173
1645,966,5.059145361425349,1,21,2,115869.44942769143
1905,427,4.801764270255821,1,20,1,89896.91682913767
1422,671,4.59478666412398,0,8,1,81146.14386873426
1913,830,5.363449700824685,0,6,3,111621.56070360288
1852,972,4.415580929409508,0,20,1,108415.87202787669
922,917,5.597897124143412,0,5,1,86745.20895494855
1302,952,5.606074321534944,0,7,1,85903.95503378495
319,839,4.8305228751456415,0,15,2,55314.494470074744
1901,635,4.567096021819295,1,20,3,106199.61903180969
847,486,4.567756363181426,0,22,3,64306.32976761878
1364,256,4.964582647992421,0,19,2,63164.197886876456
774,437,5.439158449498717,0,13,2,48659.307777967435
1238,529,4.7177373819877175,1,16,3,74187.5119558797
54,840,5.220086690915503,0,22,1,44496.3292771903
900,936,4.764968921165188,1,9,3,84316.07207730587
1452,887,4.609046378302766,0,12,2,99781.90146955373
127,389,4.0497190318315885,0,7,1,22689.442414206416
1483,918,4.007828211470781,0,6,3,102396.72832042286
623,389,4.454415355664009,0,23,1,47386.22379415663
181,253,4.812812573601991,0,12,1,29644.348268376598
650,210,5.7025223347241205,0,6,2,33877.97558576299
1822,589,5.596968485860851,1,23,3,107232.11431759897
1115,441,4.53433052517598,0,5,2,62875.58239825401
138,818,4.4890808859685984,0,17,3,55606.87369596614
451,726,4.454644142140054,0,24,3,60362.24230881908
345,624,4.678474681057734,1,21,1,62198.8116793808
1913,583,4.9963974391233705,0,7,1,95401.02180889988
1368,119,4.8773355440631505,1,13,1,62716.0680987164
665,942,4.436546397562988,0,9,2,71871.28210213328
1599,454,4.260902819887236,0,10,1,72928.61374521432
849,657,4.025155624972391,1,8,2,75309.71855207384
1764,724,4.307926477333008,1,21,1,106483.0761650056
1710,640,5.410712740388236,0,20,2,91548.05284840867
471,566,4.487277138691166,1,20,3,56214.65744769125
1938,877,4.93720362024302,1,15,2,118435.30828723338
1096,169,5.18260229784649,0,6,2,45885.89592191939
624,863,5.773681805663214,0,21,2,70932.2383777956
192,739,5.777710196786839,0,19,3,66179.64560275669
1042,737,5.4914674673627175,1,22,2,89206.50278115792
714,951,4.070313984097003,0,14,3,84716.36377741554
194,266,5.15014083817083,0,10,1,21274.652608285083
1298,105,5.573166941663013,1,20,1,61086.01992738838
1056,415,4.034576089526727,1,9,3,77490.66712194821
552,748,5.099369227313156,0,16,2,54207.47296182671
870,553,5.715528291572059,1,10,1,68440.69003116613
1689,793,4.948204151684534,1,18,2,111697.37513377923
153,816,4.008212405794897,1,20,2,63031.19561706704
1112,974,4.022026716671215,0,11,3,88331.54748596155
247,504,4.8332720748275015,0,6,1,35068.02495824837
1719,153,4.310017334833509,0,10,3,69951.9908699643
628,126,5.328901314186519,1,13,3,37252.010002539464
440,279,5.417598529812308,0,11,3,37581.93713917315
1252,963,4.355759590921258,0,6,3,98117.14805443102
603,307,5.77706657704897,1,23,2,50817.875503752824
1521,313,4.883815689957852,1,12,1,69122.0168304109
1573,380,4.2856918151838475,0,15,1,69272.65914338354
1088,231,5.528503196138791,1,8,1,59135.42222220891
1696,942,5.579949000033546,0,20,2,101387.3160111912
1742,817,5.278590945330915,0,22,2,102102.45700878405
1362,599,5.706931106405106,0,17,3,82223.70165623559
527,737,5.474745944061342,1,9,3,78310.30572627737
1304,76,5.764411474453981,1,6,3,61577.58784265574
972,325,4.8677760969709585,0,15,3,55902.50670010032
469,701,5.495194256198885,0,5,1,51612.839732864166
206,348,5.999503126858089,0,17,3,31893.881720197285
599,848,5.449862395039238,0,9,2,71515.87491757948
1514,140,4.228367560474265,1,22,2,69561.70298384022
1170,529,5.036637444858366,0,18,2,74001.33009338667
1070,622,5.174695582486056,0,17,3,73253.40462759187
1046,507,4.348421350142782,1,11,1,66285.0449811768
1484,500,5.925783268356075,0,12,1,72218.38265610111
1000,414,4.351159555269232,0,22,3,73167.52944378863
338,908,4.355115839426445,0,11,3,64315.2498354661
1327,724,5.8303342759491095,0,24,2,77248.52074669099
245,400,4.930410866243342,0,21,2,30223.66083561255
647,704,4.126376558549032,1,20,1,67108.90771805492
1907,449,5.196374999877057,1,15,2,93291.76069312356
1595,302,5.2036526972660955,1,23,2,76355.79074207327
566,830,4.129001517373124,1,5,3,84356.33018587303
1708,930,5.9450449912673236,0,12,1,107235.83533667933
1915,852,5.088059930589151,1,5,3,118094.9217101157
914,508,5.1195914443595285,1,13,1,65743.44950832504
1191,748,5.0402308290047895,1,23,3,93141.64237924546
855,966,5.22146355928924,1,13,1,98764.60273133604
1982,548,4.5285995055475095,1,14,2,100199.1075260304
1232,999,4.574482695949682,1,15,1,94811.41490179484
864,975,5.0226781795922655,1,5,1,93018.10564054445
277,557,5.61337170952716,1,24,3,62407.355335601394
1950,353,4.099729152988358,0,12,1,88658.03597314826
265,550,5.206808424440492,1,24,1,50691.71291982539
997,852,5.613556285012628,0,16,1,77207.37608444819
1769,647,4.313834544074455,1,5,3,114138.3222957578
64,215,4.030045083961133,1,14,1,31062.52118239604
1230,464,4.625426590282916,1,8,3,78787.33279865474
1721,511,5.176287413459196,0,19,2,88184.97912838215
1334,969,4.276566346809496,0,23,3,96728.28399316921
1230,163,4.852244741944971,1,10,1,61982.246421276315
96,482,5.104642994748556,0,9,2,35857.27280813139
373,405,5.197766189514635,1,9,1,51109.75041243038
893,977,4.54882344200075,0,22,3,81189.7599451869
1758,744,4.800059271972582,0,7,2,98817.16950373253
179,256,5.556678458135117,0,6,2,19715.395496411777
1484,817,5.882429388241371,1,8,2,112488.8119182008
144,284,5.723760662236515,0,22,1,23485.860026036185
676,491,5.128567003466864,0,13,2,44419.81298460404
804,404,4.820585605887893,1,23,2,76917.09708713758
1365,564,4.665913228742836,0,14,2,74277.58233540074
843,257,4.249913132168036,1,19,2,56639.77802224161
1884,758,4.213102494432226,1,5,3,104549.82528926831
1356,902,5.376715249827315,0,15,1,91703.3219836271
118,174,4.519588832342321,1,18,1,36663.36356871484
1733,187,4.509323372864894,0,14,2,72519.36701888531
60,388,5.996390108955572,0,23,3,23994.016919040805
1327,586,4.375851915747591,1,20,2,83482.03145042503
1915,117,4.296119518977659,0,12,1,73238.96565103272
921,622,4.197370455519842,0,6,1,66611.8984837575
599,590,5.159610690333592,1,11,1,60719.72904245055
1207,432,5.255727652004203,1,23,2,78723.20895859347
761,68,4.730455852513764,0,11,2,27704.4414019792
72,732,5.070826671022935,1,19,3,52660.371930063164
864,499,5.576799061889825,1,12,3,58391.9419561573
395,123,5.636208336643497,1,18,1,39245.03920503564
351,622,5.915824151431297,1,5,1,56562.03472520565
412,988,5.6485359718457495,0,17,3,72305.37858471581
445,714,5.129682873434853,0,7,1,38965.641077523236
267,325,4.359313931673692,1,10,3,43191.488272489645
190,97,4.199527115405685,0,23,2,21705.04109727357
1689,260,4.109023779821719,1,19,1,69177.2779826641
1007,904,5.333051663570767,1,8,1,91097.52542352668
1283,969,5.6150725107959865,0,7,3,96115.00352888604
1034,700,5.017367901368158,0,8,2,71002.17475632776
1042,671,4.109428349667279,0,9,1,76302.82814372891
1696,744,5.070941149182676,0,22,1,100153.85697433096
1689,589,5.871498523049101,1,14,3,117044.1845314495
877,758,5.195226381864921,1,12,2,75942.97581255122
732,240,5.61885497692563,0,16,3,46512.63465897019
1533,364,5.600305296783501,1,7,2,89189.51844153219
1053,950,5.864258199561306,0,22,2,84761.15348474612
405,612,5.540457531299746,0,12,3,61176.50803722889
1057,710,5.495401028026179,0,5,3,78282.22015407709
1397,829,4.468205329941281,1,18,2,92660.62051774743
1206,611,4.119850310642163,1,17,3,80060.56206279271
937,949,5.035198930107615,0,16,1,78775.82676040931
1878,807,4.248868415893511,0,7,1,101073.27921015477
1913,162,5.924391752555983,0,22,1,78844.40103752416
176,219,4.579849525266058,0,17,1,21771.57544870338
1179,517,5.705888406768587,1,19,1,83969.41177765568
1058,727,4.775249250404919,1,14,3,88417.38286604924
653,970,4.646388499714755,0,5,2,74975.0925911279
1872,63,5.870317144753242,0,10,3,67785.4420626718
1451,764,4.726645144172448,1,13,1,102303.44537658046
1978,337,4.780575817326273,0,14,1,82627.67652474759
1063,956,4.212183559225818,1,19,3,96033.31836798506
100,238,5.340893330565018,1,13,3,36530.84469507875
1102,963,4.577678828955027,0,18,2,87012.21586208901
1535,204,5.171208335679014,1,15,1,69772.6608128695
1369,616,5.182703408106419,1,11,3,97474.59434653148
1370,743,5.438399391191534,1,6,2,94772.36826583357
1799,771,5.490482972344882,1,18,1,119738.21924328366
828,937,5.028904868803079,0,10,1,80880.77433367883
1480,520,4.661983895206806,1,9,1,81802.10053105323
1842,124,5.674901789669468,1,9,3,77025.30597772721
863,326,4.619731298816969,1,23,1,52596.06656122386
1686,989,5.015018188938663,0,23,1,109867.22345036005
1478,694,4.802505166407456,0,10,2,82158.17644664494
1419,392,5.710156771939376,0,14,3,61096.9995542391
1695,474,4.863837062291657,1,18,2,84524.73951208853
469,620,4.772198377674968,0,21,3,50035.402307826625
1255,560,5.379647385795275,0,7,1,72724.09077346732
1032,906,5.204882219722886,0,5,2,82949.32512055065
874,231,4.214493666991692,1,14,3,61991.45771015829
1074,507,5.016337612687926,0,7,3,62242.215687353986
1904,967,5.470956776666496,0,9,1,109483.69247534806
616,900,5.984149529182712,0,23,1,79508.74206729383
420,882,5.258293667940638,1,14,2,73023.25134484621
985,113,4.740586132882635,1,20,2,54692.565584651325
1984,888,4.452303199604237,0,5,3,109364.67900937048
710,309,5.745660468306641,0,10,2,43495.11177219357
1504,242,5.6291304242270055,0,13,1,65710.9058226869
1018,704,4.467845641558769,1,9,2,86159.39043442048
1382,665,4.401264180293147,1,18,2,93301.27786056454
1210,455,5.430273553622351,0,14,3,67865.95908935516
251,775,4.629904123837519,1,6,1,61845.98146804379
1509,803,4.612797596723915,0,9,3,90945.75594647626
362,992,4.30458049413531,1,5,1,74034.80135976216
166,770,4.52795103941966,0,14,1,50805.67253388162
1739,142,4.855015115185299,1,13,3,83932.46596992531
986,479,5.465676674544831,0,7,2,56405.25319249135
1876,703,4.672616188827499,1,19,3,110780.3018947837
624,483,4.657208678959686,0,8,2,44973.19548854941
293,453,4.569826505104872,0,17,3,39202.69929748915
586,483,4.956567335022086,0,10,3,56210.80455316693
1675,161,4.36127339588263,0,24,2,64198.00369207135
124,978,4.971261468064251,1,21,2,70725.65440308582
1879,424,5.408351112389379,0,9,2,78990.20785683558
435,108,4.059581008065244,1,19,3,35574.18740494877
1976,92,4.019558760611524,1,12,2,73347.93786313225
1283,256,4.150245820309019,0,9,2,59658.78504615041
524,829,5.071320123456224,0,17,2,67246.12759065686
467,345,5.708910166370806,0,5,1,38298.9006377818
396,167,4.009768932040504,0,5,2,28740.39631003311
1602,581,5.873322609169362,1,11,2,96840.22784209644
689,271,4.212557023141072,1,9,2,43594.83135629458
988,215,5.683967056116453,1,18,1,53093.057794601475
1004,692,4.965709529965894,1,19,1,69884.19596548642
925,205,5.318714774557688,0,21,2,44441.48515344581
812,233,5.021365968894365,1,22,2,50367.02477079489
1252,139,4.954096450358709,0,11,2,51893.607581734504
1255,143,5.669798856728783,0,22,2,66132.21266878258
713,62,5.511772759135633,1,23,1,45457.27377554514
74,883,4.966804473046008,1,24,2,72901.29949169487
1253,854,4.223271858792123,1,11,1,99608.71128212918
759,994,4.230805918628816,1,12,3,91285.02782160963
1574,791,5.603078921438151,1,17,1,103223.03827539235
1929,883,5.058781242695067,1,22,3,127072.31684093906
1234,853,4.963178280438726,0,15,1,86893.34412956754
226,487,5.36113368272143,0,13,1,35670.76283373533
334,587,5.717683166828521,0,5,1,51861.16876078343
112,636,5.257746288826611,1,12,2,55212.52447365095
1052,925,5.525695804692958,0,16,1,77046.99300667792
711,985,5.530541048233914,0,6,2,77043.4243078242
715,860,4.712522897585918,0,19,1,70957.44989142347
205,199,4.548166391281992,0,22,1,20552.239104552573
1955,709,5.6023281343503175,0,21,3,103075.36170535578
1542,57,4.754357583568487,0,19,1,53300.775143935854
1122,78,5.806672013045411,1,24,2,47939.809131137714
1016,345,4.139381393460239,1,24,3,58387.023283165334
898,975,4.116435024150679,1,13,3,91781.2512068085
1157,770,5.854008320202817,0,7,1,76834.52046997116
1434,689,5.296909828362869,1,24,1,87821.97720610442
738,389,4.759198712896665,1,23,3,57148.460728267455
197,677,5.510120829632365,0,22,2,47449.413563791095
1703,488,5.344653619987282,1,24,1,97717.61954204304
391,193,5.062402093639193,0,12,3,35937.6978703891
525,991,4.197746685325303,1,5,2,86892.96937890291
1136,879,5.6243591745855035,0,19,1,79690.55701039988
1774,796,5.73204638136125,0,23,3,103074.61095137536
